id,label,comment,original_epc_datatype,csvw_datatype
GLAZED_AREA,GLAZED_AREA,Ranged estimate of the total glazed area of the Habitable Area.,VARCHAR 22,string
EXTENSION_COUNT,EXTENSION_COUNT,The number of extensions added to the property. Between 0 and 4.,INT,decimal
NUMBER_HABITABLE_ROOMS,NUMBER_HABITABLE_ROOMS,"Habitable rooms include any living room, sitting room, dining room, bedroom, study and similar; and also a non-separated conservatory. A kitchen/diner having a discrete seating area (with space for a table and four chairs) also counts as a habitable room. A non-separated conservatory adds to the habitable room count if it has an internal quality door between it and the dwelling. Excluded from the room count are any room used solely as a kitchen, utility room, bathroom, cloakroom, en-suite accommodation and similar and any hallway, stairs or landing; and also any room not having a window.",INT,decimal
NUMBER_HEATED_ROOMS,NUMBER_HEATED_ROOMS,The number of heated rooms in the property if more than half of the habitable rooms are not heated.,INT,decimal
LOW_ENERGY_LIGHTING,LOW_ENERGY_LIGHTING,The percentage of low energy lighting present in the property as a percentage of the total fixed lights in the property. 0% indicates that no low-energy lighting is present.,INT,integer
NUMBER_OPEN_FIREPLACES,NUMBER_OPEN_FIREPLACES,The number of Open Fireplaces in the Property. An Open Fireplace is a fireplace that still allows air to pass between the inside of the Property and the outside.,INT,integer
HOTWATER_DESCRIPTION,HOTWATER_DESCRIPTION,Overall description of the property feature,VARCHAR 95,string
HOT_WATER_ENERGY_EFF,HOT_WATER_ENERGY_EFF,Energy efficiency rating. One of: very good; good; average; poor; very poor. On actual energy certificate shown as one to five star rating.,VARCHAR 9,string
HOT_WATER_ENV_EFF,HOT_WATER_ENV_EFF,Environmental efficiency rating. One of: very good; good; average; poor; very poor. On actual energy certificate shown as one to five star rating.,VARCHAR 9,string
FLOOR_DESCRIPTION,FLOOR_DESCRIPTION,Overall description of the property feature,VARCHAR 91,string
FLOOR_ENERGY_EFF,FLOOR_ENERGY_EFF,Energy efficiency rating. One of: very good; good; average; poor; very poor. On actual energy certificate shown as one to five star rating.,VARCHAR 9,string
FLOOR_ENV_EFF,FLOOR_ENV_EFF,Environmental efficiency rating. One of: very good; good; average; poor; very poor. On actual energy certificate shown as one to five star rating.,VARCHAR 9,string
WINDOWS_DESCRIPTION,WINDOWS_DESCRIPTION,Overall description of the property feature,VARCHAR 54,string
WINDOWS_ENERGY_EFF,WINDOWS_ENERGY_EFF,Energy efficiency rating. One of: very good; good; average; poor; very poor. On actual energy certificate shown as one to five star rating.,VARCHAR 9,string
WINDOWS_ENV_EFF,WINDOWS_ENV_EFF,WINDOWS. Environmental efficiency rating. One of: very good; good; average; poor; very poor. On actual energy certificate shown as one to five star rating.,VARCHAR 9,string
WALLS_DESCRIPTION,WALLS_DESCRIPTION,Overall description of the property feature,VARCHAR 121,string
WALLS_ENERGY_EFF,WALLS_ENERGY_EFF,Energy efficiency rating. One of: very good; good; average; poor; very poor. On actual energy certificate shown as one to five star rating.,VARCHAR 9,string
WALLS_ENV_EFF,WALLS_ENV_EFF,Environmental efficiency rating. One of: very good; good; average; poor; very poor. On actual energy certificate shown as one to five star rating.,VARCHAR 9,string
SECONDHEAT_DESCRIPTION,SECONDHEAT_DESCRIPTION,Overall description of the property feature,VARCHAR 97,string
SHEATING_ENERGY_EFF,SHEATING_ENERGY_EFF,Energy efficiency rating. One of: very good; good; average; poor; very poor. On actual energy certificate shown as one to five star rating.,VARCHAR 3,string
SHEATING_ENV_EFF,SHEATING_ENV_EFF,Environmental efficiency rating. One of: very good; good; average; poor; very poor. On actual energy certificate shown as one to five star rating.,VARCHAR 3,string
ROOF_DESCRIPTION,ROOF_DESCRIPTION,Overall description of the property feature,VARCHAR 92,string
ROOF_ENERGY_EFF,ROOF_ENERGY_EFF,Energy efficiency rating. One of: very good; good; average; poor; very poor. On actual energy certificate shown as one to five star rating.,VARCHAR 9,string
ROOF_ENV_EFF,ROOF_ENV_EFF,Environmental efficiency rating. One of: very good; good; average; poor; very poor. On actual energy certificate shown as one to five star rating.,VARCHAR 9,string
MAINHEAT_DESCRIPTION,MAINHEAT_DESCRIPTION,Overall description of the property feature,VARCHAR 134,string
MAINHEAT_ENERGY_EFF,MAINHEAT_ENERGY_EFF,Energy efficiency rating. One of: very good; good; average; poor; very poor. On actual energy certificate shown as one to five star rating.,VARCHAR 9,string
MAINHEAT_ENV_EFF,MAINHEAT_ENV_EFF,Environmental efficiency rating. One of: very good; good; average; poor; very poor. On actual energy certificate shown as one to five star rating.,VARCHAR 9,string
MAINHEATCONT_DESCRIPTION,MAINHEATCONT_DESCRIPTION,Overall description of the property feature,VARCHAR 96,string
MAINHEATC_ENERGY_EFF,MAINHEATC_ENERGY_EFF,Energy efficiency rating. One of: very good; good; average; poor; very poor. On actual energy certificate shown as one to five star rating.,VARCHAR 9,string
MAINHEATC_ENV_EFF,MAINHEATC_ENV_EFF,Environmental efficiency rating. One of: very good; good; average; poor; very poor. On actual energy certificate shown as one to five star rating.,VARCHAR 9,string
LIGHTING_DESCRIPTION,LIGHTING_DESCRIPTION,Overall description of property feature. Total number of fixed lighting outlets and total number of low-energy fixed lighting outlets,VARCHAR 91,string
LIGHTING_ENERGY_EFF,LIGHTING_ENERGY_EFF,Energy efficiency rating. One of: very good; good; average; poor; very poor. On actual energy certificate shown as one to five star rating.,VARCHAR 9,string
LIGHTING_ENV_EFF,LIGHTING_ENV_EFF,Environmental efficiency rating. One of: very good; good; average; poor; very poor. On actual energy certificate shown as one to five star rating.,VARCHAR 9,string
MAIN_FUEL,MAIN_FUEL,"The type of fuel used to power the central heating e.g. Gas, Electricity",VARCHAR 93,string
WIND_TURBINE_COUNT,WIND_TURBINE_COUNT,Number of wind turbines; 0 if none.,INT,integer
HEAT_LOSS_CORRIDOR,HEAT_LOSS_CORRIDOR,"Flats and maisonettes only. Indicates that the flat contains a corridor through which heat is lost. Heat loss corridor, one of: no corridor; heated corridor; unheated corridor",VARCHAR 17,string
UNHEATED_CORRIDOR_LENGTH,UNHEATED_CORRIDOR_LENGTH,"The total length of unheated corridor in the flat. Only populated if flat or maisonette contains unheated corridor. If unheated corridor, length of sheltered wall (m²).",DECIMAL,decimal
FLOOR_HEIGHT,FLOOR_HEIGHT,Average height of the storey in metres.,DECIMAL,decimal
PHOTO_SUPPLY,PHOTO_SUPPLY,Percentage of photovoltaic area as a percentage of total roof area. 0% indicates that a Photovoltaic Supply is not present in the property.,INT,decimal
SOLAR_WATER_HEATING_FLAG,SOLAR_WATER_HEATING_FLAG,Indicates whether the heating in the Property is solar powered.,VARCHAR 1,string
MECHANICAL_VENTILATION,MECHANICAL_VENTILATION,Identifies the type of mechanical ventilation the property has. This is required for the RdSAP calculation.,VARCHAR 30,string
ADDRESS,ADDRESS,"Field containing the concatenation of address1, address2 and address3. Note that post code is recorded separately.",,string
LOCAL_AUTHORITY_LABEL,LOCAL_AUTHORITY_LABEL,The name of the local authority area in which the building is located. This field is for additional information only and should not be relied upon: please refer to the Local Authority ONS Code.,,string
CONSTITUENCY_LABEL,CONSTITUENCY_LABEL,The name of the parliamentary constituency in which the building is located. This field is for additional information only and should not be relied upon: please refer to the Constituency ONS Code.,,string
POSTTOWN,POSTTOWN,The post town of the property,VARCHAR 37,string
CONSTRUCTION_AGE_BAND,CONSTRUCTION_AGE_BAND,Age band when building part constructed. England & Wales only. One of: before 1900; 1900-1929; 1930-1949; 1950-1966; 1967-1975; 1976-1982; 1983-1990; 1991-1995; 1996-2002; 2003-2006; 2007-2011; 2012 onwards.,VARCHAR 31,string
LODGEMENT_DATETIME,LODGEMENT_DATETIME,Date and time lodged on the Energy Performance of Buildings Register.,DATETIME2,"{'base': 'datetime', 'format': 'yyyy-MM-dd HH:mm:ss'}"
TENURE,TENURE,Describes the tenure type of the property. One of: Owner-occupied; Rented (social); Rented (private).,VARCHAR 100,string
FIXED_LIGHTING_OUTLETS_COUNT,FIXED_LIGHTING_OUTLETS_COUNT,The number of fixed lighting outlets.,INT,integer
LOW_ENERGY_FIXED_LIGHT_COUNT,LOW_ENERGY_FIXED_LIGHT_COUNT,The number of low-energy fixed lighting outlets.,INT,integer
UPRN,UPRN,The UPRN submitted by an assessor or alternatively from the department’s address matching algorithm.,INT,integer
UPRN_SOURCE,UPRN_SOURCE,"Populated with the values ""Energy Assessor"" or ""Address Matched"" to show how the UPRN was populated",VARCHAR 15,string
